"id" ;"ari_text" ;"score" ;"characters_count" ;"coleman_liau_text" ;"complexwords_text" ;"flesch_kincaid_text" ;"flesch_reading_text" ;"gunning_fog_text" ;"sentences_text" ;"smog_index_text" ;"smog_text" ;"syllables_text" ;"words_text" ;"good" ;"total_links" ;"doicount" ;"selfreferencecount" ;"wikipediacount" ;"naturecount" ;"comm_name"
2,138 ;19.03 ;21 ;1,041 ;10.515 ;42 ;18.85 ;29.082 ;22.4 ;6 ;17.491 ;18.244 ;381 ;233 ;yes ;5 ;0 ;0 ;5 ;0 ;biology.stackexchange.com
2,141 ;12.8 ;23 ;487 ;7.716 ;14 ;14.173 ;45.546 ;16 ;4 ;13.247 ;13.817 ;182 ;117 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,142 ;10.746 ;10 ;657 ;13.432 ;29 ;12.038 ;37.258 ;15.2 ;8 ;13.428 ;14.006 ;232 ;128 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,143 ;11.985 ;12 ;1,295 ;10.344 ;39 ;11.683 ;53.006 ;14.4 ;12 ;12.874 ;13.428 ;432 ;281 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,144 ;7.301 ;11 ;287 ;8.813 ;11 ;10.512 ;49.088 ;12.8 ;4 ;12.083 ;12.603 ;110 ;66 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,146 ;15.12 ;14 ;1,170 ;12.65 ;42 ;15.074 ;33.299 ;17.2 ;9 ;14.832 ;15.47 ;407 ;234 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,147 ;10.139 ;3 ;98 ;8.297 ;3 ;10.31 ;62.107 ;14.4 ;1 ;12.487 ;13.024 ;33 ;23 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,148 ;16.513 ;9 ;1,498 ;11.265 ;53 ;16.091 ;37.763 ;19.2 ;10 ;15.61 ;16.281 ;524 ;326 ;yes ;4 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,149 ;11.12 ;6 ;407 ;9.836 ;11 ;11.409 ;53.338 ;13.6 ;4 ;12.083 ;12.603 ;139 ;90 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,150 ;10.635 ;3 ;323 ;5.582 ;2 ;10.314 ;71.58 ;12 ;3 ;7.472 ;7.794 ;107 ;85 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,151 ;14.915 ;11 ;1,486 ;13.697 ;75 ;15.117 ;29.277 ;19.6 ;12 ;16.693 ;17.411 ;520 ;287 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,152 ;9.263 ;9 ;268 ;8.66 ;10 ;10.931 ;53.5 ;14.4 ;3 ;13 ;13.559 ;97 ;62 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,154 ;18.411 ;7 ;666 ;11.825 ;30 ;18.365 ;26.625 ;22.4 ;4 ;18 ;18.774 ;242 ;142 ;yes ;4 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,155 ;11.84 ;11 ;866 ;12.855 ;39 ;12.17 ;41.847 ;16.4 ;9 ;14.402 ;15.021 ;296 ;172 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,156 ;9.071 ;3 ;426 ;9.337 ;16 ;10.581 ;53.397 ;14 ;5 ;12.798 ;13.348 ;152 ;96 ;yes ;2 ;0 ;0 ;2 ;0 ;biology.stackexchange.com
2,158 ;9.323 ;5 ;568 ;10.849 ;16 ;8.9 ;62.04 ;12 ;7 ;11.281 ;11.766 ;182 ;121 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,160 ;10.035 ;9 ;367 ;9.887 ;14 ;10.226 ;57.815 ;14.8 ;4 ;13.247 ;13.817 ;123 ;81 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,161 ;3.643 ;6 ;170 ;4.967 ;1 ;4.755 ;88.28 ;6.8 ;3 ;6.162 ;6.427 ;56 ;46 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,162 ;15.375 ;18 ;851 ;9.905 ;33 ;15.844 ;39.355 ;19.2 ;6 ;15.845 ;16.527 ;310 ;195 ;yes ;3 ;0 ;0 ;1 ;0 ;biology.stackexchange.com
2,164 ;8.829 ;21 ;2,701 ;8.984 ;80 ;9.658 ;60.159 ;12.4 ;32 ;11.66 ;12.162 ;927 ;617 ;yes ;5 ;0 ;0 ;0 ;1 ;biology.stackexchange.com
2,165 ;15.251 ;16 ;676 ;11.439 ;27 ;15.242 ;36.012 ;18.8 ;5 ;15.728 ;16.404 ;237 ;141 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,166 ;2.19 ;5 ;161 ;5.329 ;3 ;4.237 ;82.943 ;6.8 ;4 ;7.743 ;8.076 ;55 ;41 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,167 ;3.14 ;4 ;181 ;5.891 ;6 ;6.104 ;71.336 ;9.6 ;4 ;9.708 ;10.126 ;66 ;45 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,168 ;12.371 ;13 ;931 ;8.587 ;21 ;13.077 ;49.397 ;14.4 ;8 ;11.874 ;12.385 ;332 ;216 ;yes ;2 ;0 ;0 ;2 ;0 ;biology.stackexchange.com
2,172 ;14.794 ;7 ;641 ;12.242 ;31 ;15.79 ;28.165 ;19.6 ;5 ;16.638 ;17.354 ;234 ;130 ;yes ;2 ;0 ;0 ;2 ;0 ;biology.stackexchange.com
2,174 ;13.47 ;3 ;744 ;9.44 ;27 ;14.202 ;42.819 ;17.2 ;6 ;14.619 ;15.248 ;268 ;167 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,175 ;4.579 ;2 ;231 ;5.658 ;7 ;6.137 ;76.886 ;10.4 ;4 ;10.246 ;10.686 ;79 ;58 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,178 ;9.087 ;5 ;244 ;10.316 ;8 ;10.447 ;51.628 ;12.8 ;3 ;11.944 ;12.458 ;86 ;53 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,180 ;14.204 ;20 ;1,553 ;12.995 ;70 ;14.722 ;31.577 ;18 ;13 ;15.71 ;16.385 ;549 ;307 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,182 ;7.459 ;7 ;525 ;8.34 ;18 ;8.435 ;65.883 ;12.4 ;7 ;11.783 ;12.29 ;179 ;123 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,183 ;9.864 ;7 ;514 ;10.975 ;20 ;11.306 ;46.361 ;14.4 ;6 ;13 ;13.559 ;183 ;109 ;yes ;1 ;1 ;0 ;0 ;0 ;biology.stackexchange.com
2,184 ;2.121 ;3 ;104 ;2.96 ;2 ;5.3 ;84.67 ;8.4 ;2 ;8.477 ;8.842 ;39 ;31 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,188 ;17.826 ;4 ;1,310 ;15.894 ;71 ;18.437 ;9.586 ;22.4 ;9 ;18.384 ;19.175 ;476 ;236 ;yes ;1 ;0 ;0 ;1 ;0 ;biology.stackexchange.com
2,191 ;9.044 ;16 ;691 ;8.959 ;27 ;10.335 ;56.141 ;14.4 ;8 ;13.062 ;13.624 ;244 ;158 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,197 ;34.125 ;24 ;1,228 ;10.218 ;45 ;29.47 ;7.567 ;34 ;4 ;21.371 ;22.29 ;423 ;278 ;yes ;6 ;0 ;0 ;0 ;1 ;biology.stackexchange.com
2,198 ;5.693 ;12 ;202 ;9.24 ;4 ;5.864 ;72.615 ;8 ;4 ;8.477 ;8.842 ;64 ;44 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,199 ;9.752 ;15 ;315 ;12.19 ;14 ;11.3 ;42.545 ;14.8 ;4 ;13.247 ;13.817 ;112 ;64 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,200 ;12.051 ;21 ;2,149 ;10.657 ;64 ;12.111 ;49.29 ;14.4 ;20 ;12.798 ;13.348 ;731 ;461 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,204 ;12.512 ;12 ;302 ;13.349 ;13 ;12.88 ;37.748 ;16.4 ;3 ;14.402 ;15.021 ;104 ;59 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,205 ;11.799 ;12 ;335 ;8.497 ;10 ;12.553 ;51.376 ;15.2 ;3 ;13 ;13.559 ;119 ;78 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,206 ;10.656 ;18 ;3,488 ;10.02 ;105 ;10.686 ;56.35 ;13.6 ;36 ;12.354 ;12.885 ;1,167 ;766 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,207 ;8.487 ;16 ;429 ;7.732 ;14 ;10.889 ;53.687 ;13.2 ;5 ;12.165 ;12.688 ;161 ;103 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,208 ;12.343 ;38 ;1,466 ;9.85 ;50 ;13.068 ;45.76 ;15.6 ;13 ;13.742 ;14.333 ;520 ;324 ;yes ;4 ;0 ;0 ;1 ;1 ;biology.stackexchange.com
2,212 ;9.846 ;42 ;5,853 ;10.846 ;192 ;10.525 ;52.265 ;13.2 ;68 ;12.204 ;12.728 ;2,004 ;1,247 ;yes ;1 ;0 ;0 ;1 ;0 ;biology.stackexchange.com
2,216 ;14.839 ;23 ;2,326 ;10.098 ;81 ;15.573 ;38.835 ;18.4 ;17 ;14.956 ;15.599 ;853 ;529 ;yes ;14 ;3 ;0 ;2 ;0 ;biology.stackexchange.com
2,218 ;13.386 ;6 ;530 ;14.108 ;21 ;14.603 ;26.346 ;16 ;5 ;14.225 ;14.837 ;191 ;101 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,220 ;6.688 ;2 ;217 ;7.316 ;9 ;10.002 ;54.82 ;13.2 ;3 ;12.487 ;13.024 ;84 ;53 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,221 ;9.655 ;13 ;450 ;9.443 ;15 ;11.215 ;50.637 ;13.6 ;5 ;12.487 ;13.024 ;162 ;101 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,225 ;10.195 ;5 ;954 ;11.436 ;32 ;10.915 ;49.032 ;13.6 ;11 ;12.342 ;12.873 ;328 ;199 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,226 ;7.493 ;10 ;1,099 ;7.444 ;31 ;9.128 ;63.588 ;12 ;14 ;11.15 ;11.63 ;391 ;267 ;yes ;3 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,228 ;15.442 ;34 ;2,486 ;11.038 ;100 ;15.234 ;37.89 ;19.2 ;18 ;15.91 ;16.594 ;866 ;526 ;yes ;1 ;0 ;0 ;1 ;0 ;biology.stackexchange.com
2,238 ;20.493 ;21 ;920 ;13.491 ;42 ;19.315 ;22.488 ;23.6 ;5 ;18.875 ;19.686 ;321 ;185 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,243 ;12.724 ;9 ;430 ;12.311 ;14 ;13.509 ;36.952 ;14.8 ;4 ;13.247 ;13.817 ;152 ;87 ;yes ;1 ;0 ;0 ;1 ;0 ;biology.stackexchange.com
2,244 ;7.614 ;5 ;645 ;7.093 ;17 ;8.859 ;66.945 ;11.6 ;8 ;10.984 ;11.457 ;225 ;159 ;yes ;3 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,245 ;12.618 ;4 ;345 ;9.938 ;12 ;12.766 ;48.656 ;16 ;3 ;13.954 ;14.555 ;119 ;76 ;yes ;3 ;0 ;0 ;0 ;1 ;biology.stackexchange.com
2,246 ;7.832 ;4 ;611 ;5.144 ;19 ;9.808 ;66.472 ;13.6 ;7 ;12.024 ;12.541 ;226 ;164 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,247 ;5.381 ;5 ;115 ;7.287 ;4 ;8.905 ;55.266 ;10.8 ;2 ;10.746 ;11.208 ;44 ;27 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,254 ;8.356 ;6 ;809 ;8.818 ;16 ;8.603 ;66.514 ;10.4 ;10 ;9.928 ;10.355 ;267 ;186 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,255 ;16.55 ;10 ;302 ;10.749 ;10 ;15.968 ;40.25 ;18.8 ;2 ;15.247 ;15.903 ;105 ;67 ;yes ;2 ;0 ;0 ;1 ;0 ;biology.stackexchange.com
2,256 ;19.979 ;6 ;527 ;14.933 ;22 ;17.869 ;26.917 ;21.6 ;3 ;17.832 ;18.599 ;174 ;101 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,260 ;13.883 ;7 ;1,628 ;12.979 ;67 ;14.341 ;33.207 ;17.2 ;14 ;14.982 ;15.626 ;572 ;322 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,262 ;8.323 ;17 ;1,025 ;11.94 ;49 ;10.691 ;39.684 ;14 ;17 ;12.299 ;12.828 ;372 ;203 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,263 ;9.741 ;20 ;846 ;8.494 ;36 ;11.335 ;52.779 ;15.6 ;9 ;13.954 ;14.555 ;307 ;197 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,265 ;4.046 ;3 ;529 ;5.805 ;12 ;5.917 ;76.151 ;8.8 ;10 ;9 ;9.387 ;183 ;132 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,268 ;17.438 ;14 ;319 ;10.296 ;6 ;14.183 ;57.495 ;17.6 ;2 ;12.487 ;13.024 ;96 ;72 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,270 ;16.066 ;9 ;1,756 ;10.926 ;55 ;15.587 ;40.752 ;18.4 ;12 ;14.726 ;15.359 ;610 ;387 ;yes ;3 ;0 ;0 ;1 ;0 ;biology.stackexchange.com
2,272 ;10.795 ;96 ;1,370 ;7.579 ;42 ;12.2 ;52.941 ;14.8 ;13 ;12.845 ;13.397 ;501 ;331 ;yes ;4 ;0 ;0 ;2 ;0 ;biology.stackexchange.com
2,274 ;11.334 ;49 ;972 ;11.542 ;42 ;12.85 ;38.91 ;16 ;10 ;14.225 ;14.837 ;352 ;202 ;yes ;1 ;1 ;0 ;0 ;0 ;biology.stackexchange.com
2,279 ;12.66 ;7 ;479 ;8.167 ;12 ;12.762 ;53.882 ;15.2 ;4 ;12.487 ;13.024 ;166 ;113 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,280 ;13.569 ;2 ;928 ;12.274 ;40 ;14.162 ;35.383 ;17.6 ;8 ;15.247 ;15.903 ;328 ;188 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,281 ;14.519 ;10 ;399 ;9.606 ;17 ;16.398 ;30.337 ;19.2 ;3 ;16.038 ;16.728 ;154 ;89 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,284 ;9.742 ;7 ;780 ;7.253 ;20 ;10.402 ;63.01 ;13.2 ;8 ;11.66 ;12.162 ;270 ;191 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,285 ;10.331 ;6 ;429 ;11.914 ;19 ;11.522 ;43.805 ;15.2 ;5 ;13.677 ;14.265 ;151 ;88 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,287 ;13.508 ;8 ;611 ;10.259 ;22 ;14.214 ;40.532 ;16.8 ;5 ;14.489 ;15.112 ;219 ;133 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,291 ;14.18 ;7 ;777 ;9.808 ;30 ;14.319 ;43.46 ;18 ;6 ;15.247 ;15.903 ;273 ;172 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,294 ;11.573 ;17 ;903 ;11.341 ;37 ;13.078 ;38.701 ;16 ;9 ;14.106 ;14.712 ;328 ;189 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,296 ;19.867 ;6 ;700 ;14.741 ;33 ;19.949 ;12.152 ;22.8 ;4 ;18.732 ;19.538 ;256 ;135 ;yes ;3 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,297 ;12.589 ;20 ;2,451 ;10.962 ;106 ;13.915 ;37.397 ;17.2 ;22 ;15.023 ;15.669 ;894 ;520 ;yes ;10 ;6 ;0 ;3 ;0 ;biology.stackexchange.com
2,298 ;14.139 ;6 ;828 ;13.12 ;33 ;13.979 ;36.318 ;17.2 ;7 ;14.892 ;15.533 ;283 ;163 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,299 ;9.653 ;46 ;1,142 ;9.998 ;45 ;10.792 ;52.08 ;14.4 ;13 ;13.19 ;13.758 ;401 ;251 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,303 ;18.763 ;4 ;830 ;13.828 ;36 ;18.735 ;19.522 ;21.6 ;5 ;17.697 ;18.458 ;300 ;165 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,312 ;11.128 ;4 ;698 ;10.427 ;25 ;12.203 ;45.994 ;14.8 ;7 ;13.351 ;13.925 ;248 ;151 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,322 ;9.411 ;14 ;587 ;10.424 ;20 ;10.254 ;53.859 ;13.2 ;7 ;12.258 ;12.785 ;202 ;127 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,328 ;10.427 ;4 ;358 ;11.315 ;12 ;9.659 ;59.212 ;13.6 ;4 ;12.487 ;13.024 ;114 ;75 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,330 ;8.672 ;13 ;1,092 ;8.723 ;36 ;10.045 ;57.574 ;13.2 ;13 ;12.115 ;12.636 ;386 ;252 ;yes ;2 ;1 ;0 ;1 ;0 ;biology.stackexchange.com
2,331 ;10.228 ;9 ;388 ;8.878 ;9 ;10.191 ;61.629 ;12.8 ;4 ;11.216 ;11.698 ;129 ;89 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,340 ;12.401 ;13 ;892 ;10.422 ;27 ;12.1 ;51.284 ;14.8 ;8 ;13.062 ;13.624 ;299 ;193 ;yes ;1 ;0 ;0 ;1 ;0 ;biology.stackexchange.com
2,342 ;12.599 ;7 ;1,053 ;9.151 ;34 ;12.985 ;49.264 ;16 ;9 ;13.646 ;14.233 ;369 ;239 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,343 ;13.586 ;13 ;1,348 ;10.391 ;47 ;14.16 ;40.823 ;16.8 ;11 ;14.322 ;14.938 ;480 ;292 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,349 ;8.888 ;13 ;461 ;6.608 ;10 ;9.429 ;68.785 ;12.4 ;5 ;10.746 ;11.208 ;157 ;116 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,351 ;8.722 ;29 ;1,186 ;10.067 ;47 ;10.504 ;50.628 ;14 ;15 ;12.695 ;13.241 ;426 ;260 ;yes ;4 ;4 ;0 ;0 ;0 ;biology.stackexchange.com
2,352 ;18.624 ;5 ;679 ;10.685 ;24 ;17.887 ;34.055 ;20.8 ;4 ;16.416 ;17.122 ;240 ;151 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,353 ;15.538 ;50 ;8,178 ;14.296 ;341 ;15.156 ;29.508 ;18.4 ;64 ;15.643 ;16.316 ;2,797 ;1,549 ;yes ;3 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,354 ;12.461 ;18 ;977 ;11.408 ;38 ;13.611 ;37.852 ;16 ;9 ;14.255 ;14.868 ;352 ;204 ;yes ;1 ;0 ;0 ;0 ;1 ;biology.stackexchange.com
2,356 ;8.665 ;5 ;264 ;7.496 ;9 ;10.983 ;54.316 ;14 ;3 ;12.487 ;13.024 ;99 ;64 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,357 ;14.515 ;7 ;531 ;9.705 ;26 ;17.415 ;22.748 ;20.4 ;4 ;16.964 ;17.694 ;215 ;118 ;yes ;5 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,363 ;14.526 ;3 ;1,173 ;10.726 ;34 ;14.279 ;42.359 ;16 ;9 ;13.646 ;14.233 ;404 ;251 ;yes ;1 ;0 ;0 ;1 ;0 ;biology.stackexchange.com
2,364 ;7.377 ;8 ;653 ;6.094 ;19 ;9.457 ;64.663 ;12.8 ;8 ;11.441 ;11.933 ;240 ;168 ;yes ;5 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,365 ;7.484 ;17 ;429 ;9.25 ;14 ;9.327 ;56.985 ;12 ;6 ;11.367 ;11.855 ;153 ;97 ;yes ;1 ;1 ;0 ;0 ;0 ;biology.stackexchange.com
2,367 ;3.095 ;5 ;194 ;5.053 ;7 ;7.221 ;65.556 ;10.4 ;4 ;10.246 ;10.686 ;76 ;50 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,368 ;7.697 ;3 ;1,206 ;9.804 ;52 ;10.29 ;49.26 ;13.6 ;17 ;12.579 ;13.12 ;447 ;267 ;yes ;8 ;5 ;0 ;0 ;0 ;biology.stackexchange.com
2,369 ;3.27 ;5 ;172 ;3.875 ;1 ;5.229 ;86.665 ;7.2 ;3 ;6.162 ;6.427 ;60 ;49 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,370 ;6.372 ;9 ;209 ;7.337 ;3 ;8.393 ;65.168 ;8.8 ;3 ;8.477 ;8.842 ;75 ;51 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,371 ;12.601 ;39 ;790 ;10.571 ;25 ;12.276 ;50.309 ;15.2 ;7 ;13.351 ;13.925 ;265 ;170 ;yes ;3 ;0 ;0 ;1 ;0 ;biology.stackexchange.com
2,372 ;12.847 ;6 ;589 ;9.683 ;27 ;13.814 ;42.686 ;18.4 ;5 ;15.728 ;16.404 ;213 ;131 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,373 ;12.424 ;8 ;427 ;11.78 ;17 ;12.97 ;41.262 ;16.4 ;4 ;14.292 ;14.906 ;149 ;88 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,374 ;13.853 ;6 ;1,058 ;12.594 ;46 ;13.69 ;38.867 ;17.6 ;9 ;15.383 ;16.044 ;361 ;212 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,375 ;7.359 ;3 ;295 ;11.158 ;14 ;8.932 ;48.244 ;13.2 ;6 ;11.367 ;11.855 ;102 ;58 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,378 ;14.111 ;7 ;390 ;9.303 ;13 ;13.684 ;49.2 ;17.2 ;3 ;14.402 ;15.021 ;133 ;88 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,379 ;6.233 ;2 ;150 ;5.287 ;3 ;7.845 ;74.44 ;10.8 ;2 ;9.708 ;10.126 ;53 ;40 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,380 ;10.199 ;5 ;1,760 ;8.546 ;58 ;10.813 ;58.01 ;14.4 ;18 ;12.832 ;13.384 ;608 ;409 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,381 ;12.687 ;5 ;665 ;11.379 ;32 ;13.649 ;38.466 ;18.4 ;6 ;15.649 ;16.322 ;238 ;139 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,385 ;12.596 ;3 ;425 ;12.308 ;18 ;13.514 ;36.471 ;16.4 ;4 ;14.619 ;15.248 ;151 ;86 ;yes ;0 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,386 ;14.865 ;3 ;401 ;10.664 ;14 ;13.976 ;45.92 ;17.6 ;3 ;14.832 ;15.47 ;134 ;86 ;yes ;2 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,387 ;10.241 ;3 ;382 ;9.363 ;17 ;12.416 ;44.34 ;16 ;4 ;14.292 ;14.906 ;143 ;86 ;yes ;1 ;0 ;0 ;1 ;0 ;biology.stackexchange.com
2,389 ;14.213 ;13 ;1,026 ;10.421 ;36 ;13.889 ;44.909 ;17.2 ;8 ;14.619 ;15.248 ;351 ;222 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
2,390 ;7.254 ;9 ;458 ;7.503 ;13 ;9.378 ;60.776 ;11.6 ;6 ;11.062 ;11.538 ;167 ;111 ;yes ;1 ;0 ;0 ;0 ;0 ;biology.stackexchange.com
