"id" ;"ari_text" ;"score" ;"characters_count" ;"coleman_liau_text" ;"complexwords_text" ;"flesch_kincaid_text" ;"flesch_reading_text" ;"gunning_fog_text" ;"sentences_text" ;"smog_index_text" ;"smog_text" ;"syllables_text" ;"words_text" ;"good" ;"total_links" ;"comm_name"
38,195 ;11.49 ;12 ;1,180 ;9.134 ;29 ;11.304 ;57.416 ;13.6 ;11 ;11.893 ;12.405 ;395 ;268 ;yes ;0 ;chemistry.stackexchange.com
38,196 ;15.106 ;22 ;2,081 ;12.594 ;99 ;15.543 ;30.049 ;19.6 ;16 ;16.624 ;17.339 ;741 ;417 ;yes ;8 ;chemistry.stackexchange.com
38,200 ;11.837 ;8 ;5,972 ;10.32 ;212 ;12.985 ;43.218 ;15.6 ;56 ;13.657 ;14.244 ;2,148 ;1,297 ;yes ;13 ;chemistry.stackexchange.com
38,203 ;5.31 ;6 ;408 ;6.974 ;12 ;7.332 ;67.178 ;10 ;7 ;10.171 ;10.609 ;144 ;97 ;yes ;0 ;chemistry.stackexchange.com
38,204 ;8.015 ;6 ;594 ;9.705 ;22 ;8.992 ;59.983 ;12.8 ;8 ;12.083 ;12.603 ;203 ;132 ;yes ;0 ;chemistry.stackexchange.com
38,205 ;14.79 ;13 ;1,499 ;10.168 ;55 ;15.102 ;41.844 ;18.4 ;11 ;15.247 ;15.903 ;537 ;340 ;yes ;4 ;chemistry.stackexchange.com
38,206 ;16.625 ;11 ;572 ;13.281 ;20 ;16.823 ;24.322 ;18 ;4 ;15.247 ;15.903 ;204 ;112 ;yes ;2 ;chemistry.stackexchange.com
38,207 ;9.181 ;12 ;433 ;9.224 ;17 ;10.717 ;53.135 ;14.4 ;5 ;13.1 ;13.663 ;155 ;98 ;yes ;0 ;chemistry.stackexchange.com
38,208 ;15.108 ;16 ;1,606 ;11.437 ;62 ;14.776 ;38.846 ;18 ;12 ;15.45 ;16.114 ;553 ;335 ;yes ;1 ;chemistry.stackexchange.com
38,209 ;7.985 ;16 ;1,455 ;9.091 ;53 ;9.564 ;57.524 ;13.2 ;19 ;12.148 ;12.67 ;515 ;331 ;yes ;2 ;chemistry.stackexchange.com
38,210 ;3.027 ;6 ;272 ;4.28 ;3 ;5.243 ;84.544 ;7.2 ;5 ;7.243 ;7.554 ;96 ;76 ;yes ;0 ;chemistry.stackexchange.com
38,211 ;13.357 ;7 ;1,004 ;8.257 ;29 ;13.865 ;48.2 ;16.4 ;8 ;13.428 ;14.006 ;359 ;236 ;yes ;2 ;chemistry.stackexchange.com
38,212 ;11.328 ;11 ;1,065 ;8.908 ;41 ;11.868 ;53.435 ;16 ;10 ;14.091 ;14.697 ;371 ;244 ;yes ;6 ;chemistry.stackexchange.com
38,213 ;11.992 ;7 ;1,179 ;12.75 ;56 ;13.94 ;29.998 ;16.8 ;12 ;14.832 ;15.47 ;436 ;235 ;yes ;5 ;chemistry.stackexchange.com
38,215 ;18.983 ;13 ;1,037 ;8.059 ;38 ;19.027 ;34.646 ;22.4 ;6 ;16.784 ;17.506 ;390 ;256 ;yes ;6 ;chemistry.stackexchange.com
38,252 ;8.745 ;8 ;753 ;8.986 ;35 ;11.21 ;48.733 ;15.6 ;9 ;13.801 ;14.395 ;282 ;172 ;yes ;1 ;chemistry.stackexchange.com
38,253 ;13.957 ;12 ;1,306 ;9.256 ;38 ;13.641 ;51.944 ;16.8 ;10 ;13.677 ;14.265 ;449 ;307 ;yes ;4 ;chemistry.stackexchange.com
38,254 ;10.828 ;3 ;421 ;7.751 ;18 ;12.366 ;51.375 ;16.8 ;4 ;14.619 ;15.248 ;155 ;101 ;yes ;0 ;chemistry.stackexchange.com
38,255 ;10.573 ;4 ;903 ;8.771 ;28 ;11.747 ;52.003 ;14.4 ;9 ;12.661 ;13.205 ;323 ;208 ;yes ;0 ;chemistry.stackexchange.com
38,257 ;10.73 ;-4 ;857 ;10.633 ;48 ;13.995 ;31.137 ;18.4 ;9 ;15.649 ;16.322 ;337 ;184 ;no ;3 ;chemistry.stackexchange.com
38,258 ;17.496 ;20 ;957 ;6.305 ;26 ;17.366 ;46.253 ;20.8 ;6 ;14.402 ;15.021 ;354 ;255 ;yes ;1 ;chemistry.stackexchange.com
38,262 ;10.006 ;12 ;981 ;12.09 ;43 ;11.914 ;39.33 ;14.8 ;12 ;13.368 ;13.943 ;356 ;200 ;yes ;1 ;chemistry.stackexchange.com
38,263 ;10.24 ;22 ;913 ;12.582 ;40 ;11.429 ;39.393 ;14.4 ;12 ;13 ;13.559 ;319 ;177 ;yes ;0 ;chemistry.stackexchange.com
38,264 ;6.201 ;9 ;435 ;7.821 ;22 ;9.451 ;52.745 ;14.4 ;7 ;12.71 ;13.257 ;165 ;100 ;yes ;2 ;chemistry.stackexchange.com
38,265 ;10.635 ;9 ;293 ;9.75 ;12 ;11.922 ;48.182 ;15.6 ;3 ;13.954 ;14.555 ;105 ;65 ;yes ;0 ;chemistry.stackexchange.com
38,267 ;15.232 ;16 ;1,133 ;9.101 ;45 ;15.703 ;42.144 ;19.6 ;8 ;15.99 ;16.678 ;414 ;268 ;yes ;0 ;chemistry.stackexchange.com
38,268 ;16.827 ;16 ;1,993 ;10.879 ;85 ;17.026 ;33.276 ;20.8 ;13 ;17.005 ;17.737 ;724 ;440 ;yes ;5 ;chemistry.stackexchange.com
38,272 ;8.941 ;25 ;346 ;8.674 ;16 ;10.943 ;52.233 ;16 ;4 ;13.954 ;14.555 ;127 ;80 ;yes ;0 ;chemistry.stackexchange.com
38,273 ;10.807 ;15 ;494 ;13.509 ;30 ;12.038 ;37.257 ;18.8 ;6 ;15.247 ;15.903 ;174 ;96 ;yes ;0 ;chemistry.stackexchange.com
38,275 ;10.75 ;13 ;778 ;10.155 ;34 ;11.855 ;47.916 ;16.4 ;8 ;14.292 ;14.906 ;276 ;170 ;yes ;0 ;chemistry.stackexchange.com
38,276 ;6.573 ;5 ;231 ;5.505 ;6 ;8.783 ;68.311 ;11.6 ;3 ;10.746 ;11.208 ;85 ;61 ;yes ;0 ;chemistry.stackexchange.com
38,277 ;11.25 ;21 ;765 ;11.718 ;32 ;12.202 ;42.755 ;15.6 ;8 ;13.954 ;14.555 ;269 ;158 ;yes ;2 ;chemistry.stackexchange.com
38,279 ;11.145 ;18 ;4,764 ;9.351 ;171 ;12.279 ;48.572 ;15.2 ;46 ;13.56 ;14.144 ;1,707 ;1,073 ;yes ;13 ;chemistry.stackexchange.com
38,281 ;12.874 ;5 ;443 ;11.873 ;15 ;14.159 ;34.067 ;15.2 ;4 ;13.607 ;14.192 ;161 ;91 ;yes ;1 ;chemistry.stackexchange.com
38,282 ;11.071 ;-1 ;488 ;10.838 ;18 ;11.016 ;53.129 ;14.8 ;5 ;13.392 ;13.968 ;163 ;104 ;no ;1 ;chemistry.stackexchange.com
38,286 ;13.574 ;28 ;793 ;12.95 ;34 ;14.427 ;31.574 ;17.2 ;7 ;15.071 ;15.719 ;283 ;157 ;yes ;0 ;chemistry.stackexchange.com
38,287 ;19.518 ;6 ;877 ;12.897 ;36 ;18.707 ;25.065 ;22.4 ;5 ;17.697 ;18.458 ;309 ;180 ;yes ;1 ;chemistry.stackexchange.com
38,288 ;11.51 ;14 ;2,944 ;9.877 ;95 ;11.527 ;53.769 ;14.8 ;28 ;13.089 ;13.652 ;995 ;650 ;yes ;0 ;chemistry.stackexchange.com
38,290 ;8.98 ;10 ;631 ;7.651 ;19 ;10.811 ;56.225 ;13.2 ;7 ;12.024 ;12.541 ;231 ;152 ;yes ;0 ;chemistry.stackexchange.com
38,293 ;9.367 ;19 ;3,015 ;10.353 ;120 ;10.241 ;53.993 ;14.4 ;36 ;13 ;13.559 ;1,039 ;654 ;yes ;0 ;chemistry.stackexchange.com
38,294 ;6.276 ;8 ;491 ;9.483 ;18 ;8.818 ;52.816 ;10.8 ;9 ;10.746 ;11.208 ;178 ;106 ;yes ;1 ;chemistry.stackexchange.com
38,319 ;7.287 ;8 ;477 ;10.295 ;11 ;9.227 ;51.174 ;9.2 ;8 ;9.423 ;9.828 ;169 ;100 ;yes ;2 ;chemistry.stackexchange.com
38,320 ;12.326 ;22 ;1,679 ;10.073 ;53 ;12.416 ;49.746 ;15.2 ;15 ;13.296 ;13.867 ;575 ;368 ;yes ;1 ;chemistry.stackexchange.com
38,322 ;12.448 ;3 ;673 ;10.35 ;33 ;14.59 ;33.797 ;18.4 ;6 ;15.845 ;16.527 ;256 ;146 ;yes ;2 ;chemistry.stackexchange.com
38,324 ;15.126 ;9 ;1,178 ;15.472 ;52 ;14.968 ;26.043 ;18 ;10 ;15.49 ;16.156 ;404 ;215 ;yes ;1 ;chemistry.stackexchange.com
38,325 ;13.122 ;13 ;515 ;14.153 ;22 ;12.885 ;37.596 ;16.4 ;5 ;14.489 ;15.112 ;173 ;98 ;yes ;1 ;chemistry.stackexchange.com
38,326 ;10.495 ;9 ;1,674 ;9.147 ;56 ;11.324 ;53.685 ;14.4 ;17 ;12.941 ;13.498 ;586 ;380 ;yes ;1 ;chemistry.stackexchange.com
38,327 ;16.629 ;7 ;768 ;8.784 ;18 ;16.27 ;43.962 ;18 ;5 ;13.392 ;13.968 ;273 ;184 ;yes ;3 ;chemistry.stackexchange.com
38,328 ;15.455 ;6 ;1,066 ;12.678 ;49 ;14.848 ;36.03 ;19.6 ;8 ;16.555 ;17.267 ;362 ;213 ;yes ;1 ;chemistry.stackexchange.com
38,330 ;7.929 ;30 ;2,074 ;8.13 ;80 ;9.701 ;59.08 ;13.6 ;26 ;12.608 ;13.15 ;745 ;490 ;yes ;4 ;chemistry.stackexchange.com
38,332 ;10.889 ;2 ;608 ;9.34 ;22 ;11.144 ;55.833 ;15.2 ;6 ;13.488 ;14.068 ;207 ;137 ;yes ;0 ;chemistry.stackexchange.com
38,333 ;36.16 ;5 ;1,240 ;7.76 ;52 ;32.906 ;-2.821 ;37.2 ;4 ;22.748 ;23.727 ;480 ;310 ;yes ;10 ;chemistry.stackexchange.com
38,334 ;11.466 ;6 ;552 ;7.831 ;14 ;11.691 ;58.266 ;14.4 ;5 ;12.165 ;12.688 ;190 ;132 ;yes ;4 ;chemistry.stackexchange.com
38,335 ;12.692 ;17 ;3,045 ;9.421 ;103 ;12.577 ;51.748 ;16.4 ;26 ;13.902 ;14.5 ;1,038 ;684 ;yes ;4 ;chemistry.stackexchange.com
38,338 ;14.224 ;7 ;496 ;11.842 ;14 ;13.328 ;44.929 ;15.2 ;4 ;13.247 ;13.817 ;164 ;102 ;yes ;1 ;chemistry.stackexchange.com
38,340 ;7.607 ;7 ;948 ;9.171 ;39 ;9.52 ;56.262 ;13.6 ;13 ;12.487 ;13.024 ;340 ;215 ;yes ;2 ;chemistry.stackexchange.com
38,342 ;10.765 ;12 ;1,336 ;8.502 ;44 ;12.18 ;50.349 ;14.8 ;13 ;13.077 ;13.639 ;486 ;311 ;yes ;4 ;chemistry.stackexchange.com
38,345 ;29.98 ;10 ;519 ;7.535 ;12 ;26.709 ;20.233 ;29.6 ;2 ;16.416 ;17.122 ;186 ;131 ;yes ;2 ;chemistry.stackexchange.com
38,346 ;9.607 ;10 ;1,449 ;7.174 ;48 ;11.532 ;54.657 ;14.4 ;15 ;12.798 ;13.348 ;539 ;356 ;yes ;5 ;chemistry.stackexchange.com
38,348 ;12.136 ;4 ;875 ;10.325 ;33 ;12.242 ;49.595 ;16 ;8 ;14.124 ;14.732 ;299 ;190 ;yes ;3 ;chemistry.stackexchange.com
38,349 ;10.473 ;1 ;384 ;9.809 ;11 ;10.606 ;56.873 ;13.2 ;4 ;12.083 ;12.603 ;129 ;85 ;yes ;3 ;chemistry.stackexchange.com
38,352 ;13.673 ;14 ;951 ;11.779 ;36 ;14.495 ;34.781 ;16.8 ;8 ;14.619 ;15.248 ;341 ;196 ;yes ;1 ;chemistry.stackexchange.com
38,354 ;17.526 ;9 ;483 ;9.155 ;15 ;17.034 ;40.623 ;20.4 ;3 ;15.247 ;15.903 ;172 ;114 ;yes ;1 ;chemistry.stackexchange.com
38,363 ;6.199 ;6 ;423 ;6.704 ;18 ;8.777 ;63.6 ;13.2 ;6 ;12.487 ;13.024 ;157 ;106 ;yes ;0 ;chemistry.stackexchange.com
38,366 ;10.72 ;14 ;485 ;10.15 ;17 ;11.714 ;48.84 ;14.8 ;5 ;13.1 ;13.663 ;171 ;106 ;yes ;0 ;chemistry.stackexchange.com
38,367 ;6.253 ;-2 ;724 ;6.251 ;24 ;9.166 ;62.301 ;12 ;10 ;11.485 ;11.979 ;275 ;185 ;no ;1 ;chemistry.stackexchange.com
38,369 ;8.343 ;5 ;745 ;8.275 ;25 ;9.794 ;59.474 ;13.2 ;9 ;12.129 ;12.65 ;264 ;175 ;yes ;2 ;chemistry.stackexchange.com
38,370 ;11.863 ;9 ;2,385 ;12.224 ;109 ;13.242 ;36.044 ;16.8 ;24 ;14.673 ;15.304 ;860 ;484 ;yes ;6 ;chemistry.stackexchange.com
38,373 ;19.171 ;3 ;841 ;14.59 ;35 ;17.684 ;26.345 ;21.2 ;5 ;17.491 ;18.244 ;284 ;163 ;yes ;1 ;chemistry.stackexchange.com
38,374 ;22.779 ;4 ;621 ;10.514 ;27 ;21.326 ;24.69 ;26 ;3 ;19.432 ;20.267 ;222 ;139 ;yes ;1 ;chemistry.stackexchange.com
38,375 ;20.293 ;12 ;1,280 ;7.614 ;36 ;19.61 ;36.398 ;22.8 ;7 ;15.421 ;16.084 ;471 ;322 ;yes ;0 ;chemistry.stackexchange.com
38,378 ;13.072 ;15 ;748 ;8.275 ;25 ;13.908 ;49.671 ;17.2 ;6 ;14.18 ;14.79 ;273 ;183 ;yes ;1 ;chemistry.stackexchange.com
38,381 ;2.552 ;6 ;540 ;5.295 ;17 ;5.698 ;71.006 ;8.4 ;14 ;9.036 ;9.424 ;197 ;132 ;yes ;0 ;chemistry.stackexchange.com
38,382 ;13.638 ;12 ;769 ;9.087 ;18 ;13.681 ;51.006 ;15.6 ;6 ;12.487 ;13.024 ;269 ;182 ;yes ;0 ;chemistry.stackexchange.com
38,385 ;8.259 ;3 ;263 ;10.886 ;10 ;9.342 ;52.133 ;12.4 ;4 ;11.66 ;12.162 ;90 ;54 ;yes ;0 ;chemistry.stackexchange.com
38,388 ;9.695 ;5 ;742 ;8.758 ;26 ;10.895 ;55.024 ;14.4 ;8 ;12.874 ;13.428 ;263 ;171 ;yes ;1 ;chemistry.stackexchange.com
38,389 ;11.23 ;6 ;312 ;9.453 ;10 ;11.547 ;53.835 ;14.8 ;3 ;13 ;13.559 ;107 ;70 ;yes ;1 ;chemistry.stackexchange.com
38,392 ;9.805 ;12 ;1,099 ;11.101 ;47 ;11.41 ;45.047 ;14.8 ;13 ;13.414 ;13.991 ;394 ;232 ;yes ;3 ;chemistry.stackexchange.com
38,393 ;13.906 ;13 ;912 ;9.185 ;37 ;15.269 ;40.3 ;18.8 ;7 ;15.593 ;16.263 ;344 ;215 ;yes ;3 ;chemistry.stackexchange.com
38,397 ;12.21 ;11 ;1,532 ;7.135 ;52 ;13.436 ;50.388 ;16.8 ;13 ;13.954 ;14.555 ;566 ;377 ;yes ;2 ;chemistry.stackexchange.com
38,402 ;13.444 ;7 ;1,001 ;8.834 ;25 ;12.809 ;54.432 ;15.2 ;8 ;12.682 ;13.228 ;335 ;230 ;yes ;1 ;chemistry.stackexchange.com
38,403 ;12.433 ;28 ;1,872 ;8.547 ;77 ;13.676 ;45.436 ;17.6 ;16 ;15.016 ;15.661 ;688 ;435 ;yes ;2 ;chemistry.stackexchange.com
38,404 ;16.21 ;4 ;1,881 ;12.32 ;87 ;16.655 ;29.633 ;20.8 ;13 ;17.169 ;17.908 ;682 ;394 ;yes ;3 ;chemistry.stackexchange.com
38,405 ;12.454 ;13 ;7,688 ;9.512 ;257 ;12.412 ;51.823 ;15.6 ;67 ;13.727 ;14.318 ;2,623 ;1,721 ;yes ;0 ;chemistry.stackexchange.com
38,406 ;11.445 ;4 ;2,177 ;10.138 ;96 ;13.231 ;40.577 ;16.8 ;21 ;14.711 ;15.343 ;806 ;476 ;yes ;2 ;chemistry.stackexchange.com
38,410 ;18.067 ;8 ;807 ;12.834 ;37 ;18.47 ;21.774 ;22 ;5 ;17.9 ;18.669 ;297 ;166 ;yes ;4 ;chemistry.stackexchange.com
38,411 ;6.491 ;2 ;536 ;5.433 ;17 ;9.024 ;66.494 ;12.4 ;7 ;11.536 ;12.032 ;201 ;142 ;yes ;0 ;chemistry.stackexchange.com
38,412 ;8.715 ;12 ;636 ;10.796 ;28 ;10.714 ;44.173 ;14 ;9 ;12.661 ;13.205 ;229 ;131 ;yes ;0 ;chemistry.stackexchange.com
38,416 ;8.023 ;12 ;2,267 ;7.087 ;68 ;9.752 ;62.023 ;12.8 ;27 ;11.692 ;12.195 ;818 ;559 ;yes ;3 ;chemistry.stackexchange.com
38,419 ;7.612 ;6 ;784 ;7.763 ;23 ;9.003 ;64.003 ;12 ;10 ;11.307 ;11.793 ;275 ;188 ;yes ;0 ;chemistry.stackexchange.com
38,420 ;13.513 ;5 ;1,286 ;11.891 ;59 ;14.643 ;32.823 ;18.4 ;11 ;15.685 ;16.36 ;467 ;264 ;yes ;1 ;chemistry.stackexchange.com
38,423 ;19.465 ;6 ;710 ;9.392 ;24 ;18.935 ;33.226 ;22 ;4 ;16.416 ;17.122 ;258 ;166 ;yes ;2 ;chemistry.stackexchange.com
38,424 ;10.282 ;6 ;1,520 ;9.609 ;44 ;10.495 ;57.556 ;13.2 ;16 ;12.083 ;12.603 ;512 ;339 ;yes ;0 ;chemistry.stackexchange.com
38,426 ;7.756 ;13 ;468 ;9.765 ;20 ;9.333 ;53.591 ;13.6 ;7 ;12.258 ;12.785 ;164 ;100 ;yes ;0 ;chemistry.stackexchange.com
38,428 ;9.808 ;7 ;1,104 ;6.177 ;45 ;12.498 ;51.281 ;16 ;11 ;14.078 ;14.684 ;433 ;283 ;yes ;2 ;chemistry.stackexchange.com
38,429 ;8.285 ;2 ;736 ;10.72 ;25 ;9.362 ;52.552 ;11.6 ;11 ;11.257 ;11.741 ;252 ;152 ;yes ;0 ;chemistry.stackexchange.com
38,431 ;5.213 ;16 ;830 ;6.369 ;12 ;6.678 ;76.091 ;8.4 ;13 ;8.262 ;8.618 ;285 ;211 ;yes ;1 ;chemistry.stackexchange.com
38,432 ;11.008 ;5 ;3,550 ;10.426 ;119 ;11.844 ;48.147 ;14.4 ;36 ;12.958 ;13.516 ;1,244 ;768 ;yes ;3 ;chemistry.stackexchange.com
38,433 ;7.905 ;14 ;529 ;9.165 ;24 ;9.976 ;54.075 ;14.8 ;7 ;13.142 ;13.707 ;192 ;120 ;yes ;0 ;chemistry.stackexchange.com
38,434 ;9.252 ;9 ;228 ;11.773 ;9 ;11.107 ;43.333 ;13.6 ;3 ;12.487 ;13.024 ;82 ;47 ;yes ;0 ;chemistry.stackexchange.com
38,435 ;15.301 ;27 ;1,310 ;12.877 ;58 ;14.792 ;35.323 ;19.2 ;10 ;16.191 ;16.887 ;446 ;260 ;yes ;0 ;chemistry.stackexchange.com
38,436 ;14.614 ;8 ;1,639 ;8.953 ;55 ;14.967 ;45.646 ;18.4 ;12 ;14.726 ;15.359 ;591 ;390 ;yes ;0 ;chemistry.stackexchange.com
38,437 ;23.783 ;26 ;2,387 ;12.66 ;91 ;21.894 ;18.083 ;24.8 ;11 ;18.754 ;19.56 ;836 ;494 ;yes ;1 ;chemistry.stackexchange.com
38,438 ;16.369 ;16 ;1,057 ;9.405 ;45 ;17.281 ;34.016 ;21.2 ;7 ;16.887 ;17.614 ;400 ;247 ;yes ;0 ;chemistry.stackexchange.com
38,443 ;5.967 ;7 ;407 ;6.935 ;14 ;8.149 ;66.618 ;11.6 ;6 ;11.367 ;11.855 ;147 ;101 ;yes ;1 ;chemistry.stackexchange.com
38,444 ;12.926 ;16 ;444 ;11.938 ;24 ;14.937 ;28.489 ;19.2 ;4 ;16.416 ;17.122 ;167 ;91 ;yes ;0 ;chemistry.stackexchange.com
38,446 ;15.286 ;7 ;975 ;10.91 ;38 ;15.049 ;41.874 ;18.8 ;7 ;15.762 ;16.439 ;340 ;215 ;yes ;2 ;chemistry.stackexchange.com
38,447 ;14.064 ;17 ;863 ;11.597 ;42 ;14.093 ;39.565 ;19.2 ;7 ;16.416 ;17.122 ;299 ;179 ;yes ;2 ;chemistry.stackexchange.com
38,448 ;15.119 ;29 ;2,110 ;12.102 ;105 ;15.555 ;31.409 ;20 ;16 ;17.031 ;17.764 ;753 ;430 ;yes ;1 ;chemistry.stackexchange.com
38,449 ;11.806 ;6 ;160 ;14.697 ;6 ;12.444 ;31.669 ;13.6 ;2 ;12.487 ;13.024 ;55 ;29 ;yes ;0 ;chemistry.stackexchange.com
38,450 ;15.99 ;6 ;1,697 ;11.758 ;53 ;15.137 ;38.487 ;17.6 ;12 ;14.511 ;15.135 ;574 ;350 ;yes ;6 ;chemistry.stackexchange.com
38,451 ;16.413 ;13 ;1,770 ;14.507 ;94 ;16.653 ;21.289 ;21.2 ;13 ;17.728 ;18.491 ;628 ;333 ;yes ;0 ;chemistry.stackexchange.com
38,452 ;12.035 ;9 ;664 ;9.625 ;24 ;12.687 ;48.039 ;16 ;6 ;13.954 ;14.555 ;234 ;148 ;yes ;3 ;chemistry.stackexchange.com
38,454 ;11.958 ;15 ;1,464 ;11.197 ;74 ;13.295 ;38.927 ;18.4 ;14 ;15.593 ;16.263 ;530 ;308 ;yes ;1 ;chemistry.stackexchange.com
38,455 ;13.045 ;9 ;1,321 ;9.486 ;48 ;13.761 ;44.334 ;16.8 ;11 ;14.442 ;15.063 ;473 ;296 ;yes ;4 ;chemistry.stackexchange.com
38,457 ;17.787 ;11 ;3,100 ;9.35 ;109 ;17.565 ;37.189 ;21.2 ;19 ;16.119 ;16.812 ;1,123 ;726 ;yes ;3 ;chemistry.stackexchange.com
38,458 ;7.747 ;7 ;1,284 ;8.836 ;46 ;9.578 ;57.303 ;12.8 ;17 ;12.01 ;12.526 ;460 ;295 ;yes ;3 ;chemistry.stackexchange.com
38,460 ;10.754 ;9 ;2,165 ;8.352 ;70 ;11.63 ;54.679 ;14.8 ;21 ;13 ;13.559 ;765 ;507 ;yes ;4 ;chemistry.stackexchange.com
